label,aliases,qid,iso3,lang,type
United Nations,ONU|Organisation des Nations Unies|Nations Unies|UN,Q1065,,en,Organization
OECD,OCDE|Organisation for Economic Co-operation and Development|Organisation de coopération et de développement économiques,Q41550,,en,Organization
International Labour Organization,OIT|ILO|Organisation internationale du Travail,Q54129,,en,Organization
World Health Organization,OMS|WHO|Organisation mondiale de la Santé,Q7817,,en,Organization
World Trade Organization,OMC|WTO|Organisation mondiale du commerce,Q7825,,en,Organization
European Union,Union européenne|UE|EU,Q458,,en,Organization
League of Nations,Société des Nations|SDN,Q38130,,en,Organization
Organisation for Joint Armament Cooperation,OCCAR|OCCAR-EA|Organisation Conjointe de Coopération en matière d'Armement|Organisation conjointe de coopération en matière d'armement,Q521227,,en,Organization
ASEAN,Association of Southeast Asian Nations|Association des nations de l'Asie du Sud-Est,Q7768,,en,Organization
Expertise France,,Q20724578,,fr,Organization
Agence Française de Développement,AFD|Groupe AFD|French Development Agency,Q2826643,,fr,Organization
European Synchrotron Radiation Facility,ESRF|Installation européenne de rayonnement synchrotron,Q901751,,en,Organization
