label,aliases,qid,iso3,lang,type
France,République française|French Republic|La France|Francia|Pháp|Französische Republik|Französischen Republik,Q142,FRA,fr,Party
United Kingdom,Royaume-Uni|Great Britain|Grande-Bretagne,Q145,GBR,en,Party
Germany,Allemagne|Federal Republic of Germany|République fédérale d'Allemagne|Bundesrepublik Deutschland,Q183,DEU,en,Party
Italy,Italie|Italia|Italian Republic|République italienne,Q38,ITA,en,Party
Spain,Espagne|Kingdom of Spain|Royaume d'Espagne,Q29,ESP,en,Party
Russia,Russie|Russian Federation|Fédération de Russie,Q159,RUS,en,Party
China,Chine|People's Republic of China|République populaire de Chine,Q148,CHN,en,Party
United States,États-Unis|United States of America|USA|U.S.A.,Q30,USA,en,Party
Ottoman Empire,Empire ottoman|Sublime Porte,Q12560,OTT,en,Party
Prussia,Prusse|Kingdom of Prussia|Royaume de Prusse,Q27306,PRU,en,Party
Austria,Autriche|Republic of Austria|République d'Autriche,Q40,AUT,en,Party
Bulgaria,Bulgarie|Republic of Bulgaria|République de Bulgarie,Q219,BGR,en,Party
Hungary,Hongrie|Ungheria|Republic of Hungary|République de Hongrie,Q28,HUN,en,Party
South Africa,Afrique du Sud|Republic of South Africa|République d'Afrique du Sud,Q258,ZAF,en,Party
Netherlands,Pays-Bas|Kingdom of the Netherlands|Royaume des Pays-Bas,Q55,NLD,en,Party
Ukraine,Republic of Ukraine|République d'Ukraine,Q212,UKR,en,Party
Belgium,Belgique|Kingdom of Belgium|Royaume de Belgique,Q31,BEL,en,Party
Algeria,Algérie|People's Democratic Republic of Algeria|République algérienne démocratique et populaire,Q262,DZA,en,Party
Morocco,Maroc|Kingdom of Morocco|Royaume du Maroc,Q1028,MAR,en,Party
Greece,Grèce|Hellenic Republic|République hellénique,Q41,GRC,en,Party
Portugal,Portuguese Republic|République portugaise,Q45,PRT,en,Party
Denmark,Danemark|Kingdom of Denmark|Royaume du Danemark,Q35,DNK,en,Party
Poland,Pologne|Republic of Poland|République de Pologne,Q36,POL,en,Party
Japan,Japon,Q17,JPN,en,Party
Turkey,Turquie|Türkiye|Republic of Türkiye|République de Turquie,Q43,TUR,en,Party
Cuba,Republic of Cuba|République de Cuba,Q241,CUB,en,Party
Australia,Australie|Commonwealth of Australia,Q408,AUS,en,Party
Egypt,Egypte|Égypte|Arab Republic of Egypt|République arabe d'Égypte,Q79,EGY,en,Party
Bosnia and Herzegovina,Bosnie-Herzégovine|Bosnia-Herzegovina|Bosnie Herzégovine,Q225,BIH,en,Party
Brazil,Brésil|Brasil|Federative Republic of Brazil|République fédérative du Brésil,Q155,BRA,en,Party
Niger,République du Niger|Republic of Niger,Q1032,NER,en,Party
Comoros,Comores|Union des Comores,Q970,COM,en,Party
Soviet Union,URSS|U.R.S.S.|Union soviétique|Union of Soviet Socialist Republics|Union des républiques socialistes soviétiques,Q15180,SUN,en,Party
Romania,Roumanie|România,Q218,ROU,en,Party
Luxembourg,Grand Duchy of Luxembourg|Grand-Duché de Luxembourg,Q32,LUX,en,Party
Switzerland,Suisse|Swiss Confederation|Confédération suisse,Q39,CHE,en,Party
Mali,Republic of Mali|République du Mali,Q912,MLI,en,Party
Benin,Dahomey|République du Dahomey|Republic of Dahomey|Republic of Benin|République du Bénin,Q962,BEN,en,Party
Ivory Coast,Côte d'Ivoire|Côte-d'Ivoire|République de Côte-d'Ivoire|Republic of Côte d'Ivoire,Q1008,CIV,en,Party
Canada,,Q16,CAN,en,Party
Iran,Persia|Perse|Islamic Republic of Iran|République islamique d'Iran,Q794,IRN,en,Party
Haiti,Haïti|Republic of Haiti|République d'Haïti,Q790,HTI,en,Party
Norway,Norvège|Kingdom of Norway|Royaume de Norvège,Q20,NOR,en,Party
Sweden,Suède|Kingdom of Sweden|Royaume de Suède,Q34,SWE,en,Party
India,Inde|Republic of India|République de l'Inde,Q668,IND,en,Party
Mauritania,Mauritanie|Islamic Republic of Mauritania|République islamique de Mauritanie,Q1025,MRT,en,Party
Vietnam,Viet Nam|Viêt Nam|Socialist Republic of Vietnam|République socialiste du Vietnam,Q881,VNM,en,Party
Tunisia,Tunisie|Republic of Tunisia|République tunisienne,Q948,TUN,en,Party
Indonesia,Indonésie|Republic of Indonesia|République d'Indonésie,Q252,IDN,en,Party
Thailand,Siam|Kingdom of Thailand|Royaume de Thaïlande,Q869,THA,en,Party
Uruguay,Eastern Republic of Uruguay|République orientale de l'Uruguay,Q77,URY,en,Party
Philippines,Republic of the Philippines|République des Philippines,Q928,PHL,en,Party
Kenya,Republic of Kenya|République du Kenya,Q114,KEN,en,Party
Jordan,Jordanie|Hashemite Kingdom of Jordan|Royaume hachémite de Jordanie,Q810,JOR,en,Party
Albania,Albanie|Republic of Albania|République d'Albanie,Q222,ALB,en,Party
Burkina Faso,Upper Volta|Haute-Volta|République de Haute-Volta,Q965,BFA,en,Party
Armenia,Arménie|Republic of Armenia|République d'Arménie,Q399,ARM,en,Party
Madagascar,Republic of Madagascar|République de Madagascar,Q1019,MDG,en,Party
Kosovo,Kosovë|Kosovës|Republic of Kosovo|République du Kosovo,Q1246,XKX,en,Party
